FGs,F-score,Precision,Recall,Frequency
CC1=NN(C)C(=O)C1,0.0,0.0,0.0,1
CC1=NNC(=O)C1,0.0,0.0,0.0,1
CC1=NS(=O)(=O)ccN1,0.0,0.0,0.0,1
CC1CO1,0.0,0.0,0.0,1
CC1CS1,0.0,0.0,0.0,1
CC1N=CCCO1,0.0,0.0,0.0,3
CC1OC(C)OC(C)O1,0.0,0.0,0.0,1
CC1OC1(C)C,0.0,0.0,0.0,1
CC1OC1(C)C1(C)OCCO1,0.0,0.0,0.0,2
CC1OC1(C)C1CO1,0.0,0.0,0.0,1
CC1OC1C,0.0,0.0,0.0,1
CC1OCC(=O)O1,0.0,0.0,0.0,1
CC1OCCO1,0.0,0.0,0.0,2
CC=C(C)Br,0.0,0.0,0.0,1
CC=C(C)C,0.0,0.0,0.0,2
CC=C(C)C#N,0.0,0.0,0.0,1
CC=C(C)C(=O)Cl,0.0,0.0,0.0,2
CC=C(C)C(=O)NC(N)=O,0.0,0.0,0.0,1
CC=C(C)C(=O)O,0.0,0.0,0.0,2
CC=C(C)C(=O)OC,0.0,0.0,0.0,1
CC=C(C)C=C(C)OC,0.0,0.0,0.0,1
CC=C(C)C=NO,0.0,0.0,0.0,1
CC=C(C)C=O,0.0,0.0,0.0,1
CC=C(C)Cl,0.0,0.0,0.0,1
CC=C(C)N(C)C,0.0,0.0,0.0,2
CC=C(C)OC,0.0,0.0,0.0,2
CC=C(C)OC(C)=O,0.0,0.0,0.0,1
CC=C(Cl)C(C)=O,0.0,0.0,0.0,4
CC=C(Cl)Cl,0.0,0.0,0.0,2
CC=C(F)F,0.0,0.0,0.0,1
CC=C(OC)C(C)=O,0.0,0.0,0.0,1
CC=CC,0.0,0.0,0.0,1
CC=CC#N,0.0,0.0,0.0,1
CC=CC(=O)N(C)C,0.0,0.0,0.0,1
CC=CC(=O)N=C=S,0.0,0.0,0.0,1
CC=CC(=O)O,0.0,0.0,0.0,1
CC=CC(C)=O,0.0,0.0,0.0,1
CC=CC(OC)OC,0.0,0.0,0.0,2
CC=CC=C(C)C,0.0,0.0,0.0,1
CC=CC=CC,0.0,0.0,0.0,1
CC=CC=CC(=O)O,0.0,0.0,0.0,2
CC=CC=CC(=O)OC,0.0,0.0,0.0,5
CC=CC=CC(=O)P(=O)(OC)OC,0.0,0.0,0.0,4
CC=CC=CC=O,0.0,0.0,0.0,1
CC=CC=O,0.0,0.0,0.0,1
CC=CCl,0.0,0.0,0.0,2
CC=COC,0.0,0.0,0.0,1
CC=NNC(C)=O,0.0,0.0,0.0,4
CC=NO,0.0,0.0,0.0,1
CC=NOC(=O)NC,0.0,0.0,0.0,2
CC=O,0.0,0.0,0.0,1
CCl,0.0,0.0,0.0,1
CF,0.0,0.0,0.0,1
CI,0.0,0.0,0.0,1
CN,0.0,0.0,0.0,1
CN(C)B(B(N(C)C)N(C)C)N(C)C,0.0,0.0,0.0,1
CN(C)C,0.0,0.0,0.0,2
CN(C)C#N,0.0,0.0,0.0,1
CN(C)C(=O)Cl,0.0,0.0,0.0,1
CN(C)C(=O)N(C)C,0.0,0.0,0.0,1
CN(C)C(=O)N(C)N=O,0.0,0.0,0.0,58
CN(C)C(=S)SSC(=S)N(C)C,0.0,0.0,0.0,1
CN(C)C(=S)S[Te,0.0,0.0,0.0,1
CN(C)C(=S)[S-,0.0,0.0,0.0,3
CN(C)C(C)(C)O,0.0,0.0,0.0,1
CN(C)C(N)=O,0.0,0.0,0.0,1
CN(C)C1OCCO1,0.0,0.0,0.0,1
CN(C)C=C[N+,0.0,0.0,0.0,1
CN(C)C=O,0.0,0.0,0.0,1
CN(C)C=S,0.0,0.0,0.0,1
CN(C)CN(C)C,0.0,0.0,0.0,1
CN(C)N,0.0,0.0,0.0,1
CN(C)N(C)C,0.0,0.0,0.0,2
CN(C)N=O,0.0,0.0,0.0,1
CN(C)O,0.0,0.0,0.0,1
CN(C)P(=O)(N(C)C)N(C)C,0.0,0.0,0.0,1
CN(C)P(=S)(N(C)C)N(C)C,0.0,0.0,0.0,1
CN(C)P(N(C)C)N(C)C,0.0,0.0,0.0,1
CN(C)S(C)(=O)=O,0.0,0.0,0.0,1
CN(C)S(N)(=O)=O,0.0,0.0,0.0,1
CN(C)SSN(C)C,0.0,0.0,0.0,1
CN(C)[N+,0.0,0.0,0.0,1
CN(C)[O,0.0,0.0,0.0,1
CN(Cl)Cl,0.0,0.0,0.0,1
CN(N=O)C(=O)NC(N)=O,0.0,0.0,0.0,1
CN(N=O)C(=O)NNC(=O)N(C)N=O,0.0,0.0,0.0,1
CN(N=O)C(N)=O,0.0,0.0,0.0,2
CN1C(=O)C=CC1=O,0.0,0.0,0.0,3
CN1C(=O)CC(=O)NC1=O,0.0,0.0,0.0,2
CN1C(=O)CCC1=O,0.0,0.0,0.0,2
CN1C(=O)COC1=O,0.0,0.0,0.0,1
CN1C(=O)CSC1=S,0.0,0.0,0.0,1
CN1C(=O)ccC1=O,0.0,0.0,0.0,1
CN1C(=O)ccNS1(=O)=O,0.0,0.0,0.0,5
CN1C(=S)SCC1(C)O,0.0,0.0,0.0,2
CN1CC(=O)N(C)C1=O,0.0,0.0,0.0,1
CN1CC(=O)N(C)C1=S,0.0,0.0,0.0,1
CN1CC(=O)NC1=O,0.0,0.0,0.0,2
CN1CC1,0.0,0.0,0.0,2
CN1CCN(C)C1=S,0.0,0.0,0.0,1
CN1CCNC1=O,0.0,0.0,0.0,1
CN1CCOC1=O,0.0,0.0,0.0,20
CN1CN(C)CN(C)C1,0.0,0.0,0.0,1
CN1CNccS1(=O)=O,0.0,0.0,0.0,4
CN1N=NccS1(=O)=O,0.0,0.0,0.0,1
CN1OCCC1=O,0.0,0.0,0.0,2
CN1[Si,0.0,0.0,0.0,2
CN1ccS(=O)C1,0.0,0.0,0.0,1
CN=C(C)C,0.0,0.0,0.0,2
CN=C(C)N(C)C,0.0,0.0,0.0,1
CN=C(C)OC,0.0,0.0,0.0,2
CN=C(N)N,0.0,0.0,0.0,1
CN=C=NC,0.0,0.0,0.0,4
CN=C=O,0.0,0.0,0.0,1
CN=C=S,0.0,0.0,0.0,2
CN=NC,0.0,0.0,0.0,1
CN=[N+,0.0,0.0,0.0,1
CNC,0.0,0.0,0.0,1
CNC(=C[N+,0.0,0.0,0.0,1
CNC(=O)C(=O)NC,0.0,0.0,0.0,1
CNC(=O)C(N)=O,0.0,0.0,0.0,1
CNC(=O)C=C(C)OP(=O)(OC)OC,0.0,0.0,0.0,1
CNC(=O)N(C)C,0.0,0.0,0.0,1
CNC(=O)N(C)C(C)=O,0.0,0.0,0.0,1
CNC(=O)N(C)N=O,0.0,0.0,0.0,1
CNC(=O)N1CCN(N=O)C1=O,0.0,0.0,0.0,1
CNC(=O)N1CCNC1=O,0.0,0.0,0.0,1
CNC(=O)NC,0.0,0.0,0.0,1
CNC(=O)NC(=O)N(C)N=O,0.0,0.0,0.0,6
CNC(=O)NC(=O)NC,0.0,0.0,0.0,2
CNC(=O)NN,0.0,0.0,0.0,2
CNC(=O)NNC(=O)NC,0.0,0.0,0.0,3
CNC(=O)N[N+,0.0,0.0,0.0,1
CNC(=O)OC,0.0,0.0,0.0,1
CNC(=O)ON=C(SC)C(=O)N(C)C,0.0,0.0,0.0,1
CNC(=S)C(=S)NC,0.0,0.0,0.0,1
CNC(=S)NC,0.0,0.0,0.0,1
CNC(=S)NN,0.0,0.0,0.0,1
CNC(=S)NNC=O,0.0,0.0,0.0,1
CNC(C)=O,0.0,0.0,0.0,1
CNC(C)=S,0.0,0.0,0.0,1
CNC(N)=O,0.0,0.0,0.0,1
CNC(N)=S,0.0,0.0,0.0,1
CNC1=NCCN1,0.0,0.0,0.0,1
CNC=CC(C)=O,0.0,0.0,0.0,2
CNC=O,0.0,0.0,0.0,1
CNN,0.0,0.0,0.0,2
CNNC,0.0,0.0,0.0,1
CNO,0.0,0.0,0.0,1
CNP(=O)(Cl)Cl,0.0,0.0,0.0,1
CNP(=O)(OC)N(C)C,0.0,0.0,0.0,2
CNP(=O)(OC)OC,0.0,0.0,0.0,1
CNP(=S)(Cl)Cl,0.0,0.0,0.0,2
CNS(=O)(=O)O,0.0,0.0,0.0,1
CNS(C)(=O)=O,0.0,0.0,0.0,1
CO,0.0,0.0,0.0,2
COB(C)C,0.0,0.0,0.0,2
COB(O)O,0.0,0.0,0.0,2
COB(OC)OC,0.0,0.0,0.0,1
COC,0.0,0.0,0.0,1
COC(=O)C#CC(=O)OC,0.0,0.0,0.0,1
COC(=O)C(=C(C)C)C(C(=O)OC)=C(OC)OC,0.0,0.0,0.0,1
COC(=O)C(=CN(C)C)C(=O)OC,0.0,0.0,0.0,1
COC(=O)C(=CN(C)C)C(C(=O)OC)=C(C)C,0.0,0.0,0.0,1
COC(=O)C(=CO)C(C(=O)OC)=C(C)C,0.0,0.0,0.0,1
COC(=O)C(=O)N(C)C,0.0,0.0,0.0,1
COC(=O)C(C#N)=C(C)C,0.0,0.0,0.0,20
COC(=O)C(C(=O)OC)=C(C(=O)OC)C(=O)OC,0.0,0.0,0.0,1
COC(=O)C(C(=O)OC)=C(C)C,0.0,0.0,0.0,1
COC(=O)C(C(=O)OC)=C1C=C(O)C(=O)cc1,0.0,0.0,0.0,1
COC(=O)C(C)=C(C)C,0.0,0.0,0.0,2
COC(=O)C(C)=O,0.0,0.0,0.0,1
COC(=O)C(C=C(C)C)=CN(C)C,0.0,0.0,0.0,2
COC(=O)C(C=C(C)C)=CO,0.0,0.0,0.0,2
COC(=O)C(N)=O,0.0,0.0,0.0,3
COC(=O)C(SC)SC,0.0,0.0,0.0,13
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1,0.0,0.0,0.0,2
COC(=O)C1=C(C)OC(C)=C(C)C1,0.0,0.0,0.0,1
COC(=O)C1=CCC1,0.0,0.0,0.0,2
COC(=O)C1OC1C,0.0,0.0,0.0,1
COC(=O)C1SCCS1,0.0,0.0,0.0,1
COC(=O)C=C(C)C,0.0,0.0,0.0,1
COC(=O)C=C(C)C(=O)OC,0.0,0.0,0.0,2
COC(=O)C=C(C)N,0.0,0.0,0.0,1
COC(=O)C=C(C)N(C)C,0.0,0.0,0.0,4
COC(=O)C=C(C)OC,0.0,0.0,0.0,1
COC(=O)C=C(C)OP(=O)(OC)OC,0.0,0.0,0.0,1
COC(=O)C=CC(=O)O,0.0,0.0,0.0,2
COC(=O)C=CC(=O)OC,0.0,0.0,0.0,1
COC(=O)C=O,0.0,0.0,0.0,1
COC(=O)C=[N+,0.0,0.0,0.0,37
COC(=O)Cl,0.0,0.0,0.0,4
COC(=O)N(C)C,0.0,0.0,0.0,1
COC(=O)N(Cl)Cl,0.0,0.0,0.0,1
COC(=O)N1C(=O)ccC1=O,0.0,0.0,0.0,1
COC(=O)N=NC(=O)OC,0.0,0.0,0.0,1
COC(=O)NC(C)=O,0.0,0.0,0.0,3
COC(=O)NC(N)=O,0.0,0.0,0.0,1
COC(=O)NCNC(=O)OC,0.0,0.0,0.0,1
COC(=O)NN,0.0,0.0,0.0,1
COC(=O)NNC(=O)OC,0.0,0.0,0.0,2
COC(=O)OC,0.0,0.0,0.0,1
COC(=O)SCl,0.0,0.0,0.0,1
COC(=S)C(=S)OC,0.0,0.0,0.0,4
COC(=S)SC,0.0,0.0,0.0,2
COC(=S)SSC(=S)OC,0.0,0.0,0.0,2
COC(C)(C)OC,0.0,0.0,0.0,1
COC(C)(OC)OC,0.0,0.0,0.0,1
COC(C)=C(C#N)C(N)=S,0.0,0.0,0.0,1
COC(C)=CC(C)=O,0.0,0.0,0.0,1
COC(C)=N,0.0,0.0,0.0,2
COC(C)N=[N+,0.0,0.0,0.0,1
COC(C)NC(C)=O,0.0,0.0,0.0,1
COC(C)O,0.0,0.0,0.0,2
COC(C)OC,0.0,0.0,0.0,1
COC(C)OC(C)(C)OC,0.0,0.0,0.0,1
COC(C)OC(C)=O,0.0,0.0,0.0,1
COC(C)SC,0.0,0.0,0.0,5
COC(C=C(C)C)OC,0.0,0.0,0.0,1
COC(OC)(OC)OC,0.0,0.0,0.0,3
COC(OC)=C(C)C,0.0,0.0,0.0,1
COC(OC)OC,0.0,0.0,0.0,1
COC1(C)COC(C)(C)O1,0.0,0.0,0.0,1
COC1(OC)C(Cl)=C(Cl)C(Cl)=C1Cl,0.0,0.0,0.0,1
COC1=CC(=C2C=C(OC)C(=O)C(OC)=C2)C=C(OC)C1=O,0.0,0.0,0.0,14
COC1=CC(=O)C=C(OC)C1=O,0.0,0.0,0.0,9
COC1C=CC(OC)O1,0.0,0.0,0.0,2
COC1CCC(OC)O1,0.0,0.0,0.0,1
COC1CCC=CO1,0.0,0.0,0.0,1
COC1CCOC(C)O1,0.0,0.0,0.0,1
COC1COC(C)(C)O1,0.0,0.0,0.0,1
COC1ccC(=O)O1,0.0,0.0,0.0,1
COC=C(C(=O)OC)C(=O)OC,0.0,0.0,0.0,1
COC=C(C)C,0.0,0.0,0.0,2
COC=O,0.0,0.0,0.0,1
COCN1C(=O)ccC1=O,0.0,0.0,0.0,1
COCN=C=S,0.0,0.0,0.0,2
CON,0.0,0.0,0.0,1
CON=C(C)C,0.0,0.0,0.0,1
CON=O,0.0,0.0,0.0,1
CONC(N)=O,0.0,0.0,0.0,1
COOC,0.0,0.0,0.0,1
COOC(=O)OC,0.0,0.0,0.0,2
COOC(C)=O,0.0,0.0,0.0,1
COP(=O)(Cl)Cl,0.0,0.0,0.0,4
COP(=O)(Cl)OC,0.0,0.0,0.0,1
COP(=O)(NC(C)=O)SC,0.0,0.0,0.0,1
COP(=O)(O)OC,0.0,0.0,0.0,2
COP(=O)(OC)C(C)=O,0.0,0.0,0.0,1
COP(=O)(OC)C(OC(C)=O)=C(C)C,0.0,0.0,0.0,2
COP(=O)(OC)N(C)C,0.0,0.0,0.0,4
COP(=O)(OC)OC,0.0,0.0,0.0,1
COP(=O)(OC)OC(=O)N(C)C,0.0,0.0,0.0,1
COP(=O)(OC)OC(C)=C(Cl)C(=O)N(C)C,0.0,0.0,0.0,1
COP(=O)(OC)OC(C)=CC(=O)N(C)C,0.0,0.0,0.0,2
COP(=O)(OC)OC=C(Cl)Cl,0.0,0.0,0.0,1
COP(=O)(OC)SC,0.0,0.0,0.0,1
COP(=S)(Cl)Cl,0.0,0.0,0.0,2
COP(=S)(Cl)OC,0.0,0.0,0.0,2
COP(=S)(OC)OC,0.0,0.0,0.0,1
COP(=S)(OC)OP(=S)(OC)OC,0.0,0.0,0.0,2
COP(=S)(OC)SC,0.0,0.0,0.0,1
COP(=S)(OC)SC1OCCOC1SP(=S)(OC)OC,0.0,0.0,0.0,2
COP(=S)(OC)SCSC,0.0,0.0,0.0,2
COP(=S)(S)OC,0.0,0.0,0.0,2
COP(C)(=O)N(C)C,0.0,0.0,0.0,2
COP(C)(=O)O,0.0,0.0,0.0,1
COP(C)(=O)OC,0.0,0.0,0.0,1
COP(C)(=S)OC,0.0,0.0,0.0,1
COP(C)(=[Se,0.0,0.0,0.0,1
COP(C)(C)=O,0.0,0.0,0.0,1
COP(Cl)Cl,0.0,0.0,0.0,1
COP(N)(=O)OC,0.0,0.0,0.0,1
COP(N)(=S)OC,0.0,0.0,0.0,1
